pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,normalized_projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split.1,_raw_broad,10 Yard Split.2,10 Yard Split.3,position_group,missing_outcome,missing_combine,low_confidence_mock,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,is_QB,is_WR,is_TE,dominator_rating,yards_per_reception,rec_td_rate,rec_yards_flag,completion_pct,yards_per_attempt,td_int_ratio,pass_yards_flag,weighted_av_pred,av_tier,performance_value_usd,contract_cost_usd,contract_surplus_usd,contract_surplus_percentile,upside_percentile,round_value_percentile,sleeper_score,draft_window_label
,,,Fernando Mendoza,QB,2026,1.0,1,45600000.0,1,1,,indiana,76.75,236,,,,,,,691.0,1008.0,8247.0,71.0,22.0,226.0,467.0,11.0,0.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,6046,948,3178,7668.0,,,,,,skill_pass,True,True,False,100.0,1,0,True,,,,28.16505214909442,1.066216421227934,0.6398677014104441,,,,,,,,,,0.03841991662706864,1,0,0,,,,False,0.685515873015873,8.181547619047619,3.227272727272727,False,66.07241,elite,54216000.0,11400000.0,42816000.0,0.8181818181818182,0.9090909090909091,1.0,88.18181818181819,On the board — situational value
,,,Carnell Tate,WR,2026,8.1,8,30660000.0,1,8,,ohio state,74.25,192,4.53,,,,,,,,,,,2.0,22.0,0.0,121.0,1872.0,14.0,,,,,,,,,,,,,,,,,,,,,6022,1028,3168,7800.0,1.61,,,1.61,,skill_pass,True,False,False,94.73,1,0,True,91.18815238625429,,,24.48294391728735,0.07140659489620202,-1.0989884354442607,-0.42758636273274997,,,,,,-0.5131588842937652,,,-1.75411830471258,0,1,0,0.9883843717001056,15.47107438016529,0.11570247933884298,False,,,,True,33.339886,elite,30120000.0,7665000.0,22455000.0,0.7631578947368421,0.4473684210526316,0.43478260869565216,60.274599542334094,On the board — situational value
,,,Makai Lemon,WR,2026,15.0,13,19800000.0,1,15,,southern california,71.125,192,,,,,,,2.0,2.0,63.0,1.0,0.0,9.0,4.0,2.0,137.0,2008.0,14.0,,,,,,,,,,,,,,,,,,,,,5111,868,3048,7328.0,,,,,,skill_pass,True,True,False,89.6,1,0,True,,,,26.681607729158237,-1.1721056880184628,-1.0989884354442607,,,,,,,,,,-0.6837562538065773,0,1,0,0.9980119284294234,14.656934306569344,0.10218978102189781,False,,,,False,32.885914,elite,30120000.0,4950000.0,25170000.0,0.7894736842105263,0.42105263157894735,0.37681159420289856,59.64149504195271,On the board — situational value
,,,Kenyon Sadiq,TE,2026,16.7,15,18390000.0,1,17,,oregon,75.0,241,4.39,43.5,133.0,,,,,,,,,9.0,42.0,0.0,80.0,892.0,11.0,,,,,,,,,,,,,,,,,,,,,6030,1000,3148,7828.0,1.54,,1101,1.54,,skill_pass,True,False,False,88.16,1,0,True,129.77437837626428,88.25,,30.119644444444443,0.3698495427957216,0.8374649896893879,-1.1466299950400618,2.5432140132497496,2.081132993117776,,,,2.6064177774418913,2.381951352550178,,0.9899621245081782,0,0,1,0.9550321199143469,11.15,0.1375,False,,,,True,38.640537,elite,24096000.0,4597500.0,19498500.0,0.8,0.75,0.7681159420289855,77.86231884057972,On the board — situational value
,,,Jordyn Tyson,WR,2026,17.8,16,18060000.0,1,18,,arizona state,74.125,203,,,,26.0,,,1.0,2.0,37.0,0.0,0.0,6.0,1.0,1.0,158.0,2282.0,22.0,,,,,,,,,,,,,,,,,,,,,6021,918,3028,7528.0,,,,,,skill_pass,True,False,False,87.44,1,0,True,,,,25.97299011229948,0.021666103579615424,-0.6642744012305846,,,,1.5920957606539063,,,,,,-1.0287282325119798,0,1,0,0.9995619798510732,14.443037974683545,0.13924050632911392,False,,,,False,34.10559,elite,30120000.0,4515000.0,25605000.0,0.8157894736842105,0.5263157894736842,0.5072463768115942,66.72387490465293,On the board — situational value
,,,Ty Simpson,QB,2026,26.9,25,15720000.0,1,27,,alabama,73.125,211,,,,,,,334.0,523.0,3948.0,28.0,5.0,112.0,223.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,6011,938,3078,7648.0,,,,,,skill_pass,True,True,False,81.14,1,0,True,,,,27.73997224048506,-0.3762578269530773,-0.34811873998427456,,,,,,,,,,-0.1685191344099762,1,0,0,,,,True,0.638623326959847,7.548757170172084,5.6,False,37.172024,elite,54216000.0,3930000.0,50286000.0,0.9090909090909091,0.45454545454545453,0.7101449275362319,73.29380764163372,On the board — situational value
,,,Omar Cooper Jr,WR,2026,27.8,26,15460000.0,1,28,,indiana,72.0,199,4.42,37.0,,,,,,,,,,5.0,97.0,2.0,116.0,1822.0,22.0,,,,,,,,,,,,,,,,,,,,,6000,958,3028,7528.0,1.55,,,1.55,,skill_pass,True,False,False,80.45,1,0,True,104.27831253892639,,,26.98630401234568,-0.8239222488023566,-0.8223522318537395,-0.9925492166884944,0.7366104007798674,,,,,0.5451399532559436,,,-0.5354228265608573,0,1,0,0.9494528400208442,15.706896551724139,0.1896551724137931,False,,,,True,32.334064,elite,30120000.0,3865000.0,26255000.0,0.8421052631578947,0.3684210526315789,0.2753623188405797,58.665141113653696,On the board — situational value
,,,KC Concepcion,WR,2026,29.1,30,15170000.0,1,29,,texas a&m,71.625,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115,928,3028,7478.0,,,,,,skill_pass,True,True,False,79.77,1,0,True,,,,26.85852300588739,-0.9731437227521164,-0.9409106048211058,,,,,,,,,,-0.5976296721008986,0,1,0,,,,True,,,,True,34.812107,elite,30120000.0,3792500.0,26327500.0,0.868421052631579,0.5526315789473685,0.5942028985507246,71.8840579710145,On the board — situational value
,,,Denzel Boston,WR,2026,30.1,33,14870000.0,1,30,,washington,75.625,212,,35.0,,,,4.28,2.0,2.0,15.0,1.0,0.0,1.0,2.0,1.0,132.0,1781.0,20.0,,,,,,,,,,,,,,,,,,,,,6035,968,3200,7738.0,,,,,,skill_pass,True,False,False,79.09,1,0,True,,,,26.059159893449902,0.6185519993786545,-0.3085992823284858,,0.18073236617374983,,,,0.14613347248529504,,,,-0.9867787251883462,0,1,0,0.9988782950084127,13.492424242424242,0.15151515151515152,False,,,,False,29.084187,elite,30120000.0,3717500.0,26402500.0,0.8947368421052632,0.2631578947368421,0.13043478260869565,55.240274599542325,On the board — situational value
,,,Zachariah Branch,WR,2026,42.0,42,12100000.0,2,42,,georgia,68.625,177,4.35,38.0,125.0,20.0,,,,,,,,15.0,94.0,1.0,159.0,1634.0,9.0,,,,,,,,,,,,,,,,,,,,,5085,900,2938,7238.0,1.5,,1005,1.5,,skill_pass,True,False,False,71.15,0,0,True,98.86583398384228,81.5,,26.421889774751907,-2.1669155143501944,-1.691780300281092,-1.3520710328421504,1.0145494180829262,0.9790672946346043,0.43963362345406165,,,0.10755785370164775,1.0518509150278028,,-0.8101931564537911,0,1,0,0.9456018518518519,10.276729559748428,0.05660377358490566,False,,,,True,19.661663,good,18072000.0,3025000.0,15047000.0,0.5263157894736842,0.23684210526315788,0.3333333333333333,40.08771929824561,No strong signal at current ADP
,,,Eli Stowers,TE,2026,50.5,49,10300000.0,2,50,,vanderbilt,76.0,239,4.51,45.5,135.0,,,,5.0,10.0,116.0,2.0,0.0,37.0,114.0,2.0,145.0,1769.0,11.0,,,,,,,,,,,,,,,,,,,,,6040,968,3258,7968.0,1.59,,1103,1.59,,skill_pass,True,False,False,66.09,0,0,True,115.53717093006233,90.25,,29.088815789473685,0.7677734733284143,0.7584260743778104,-0.5303068816337965,3.099092047855867,2.3566494177385695,,,,1.4553837247993875,2.776055185890141,,0.48813011758197794,0,0,1,0.9394583112055231,12.2,0.07586206896551724,False,,,,False,26.911228,elite,24096000.0,2575000.0,21521000.0,0.85,0.9,0.855072463768116,86.60144927536233,Round 2 value — monitor board
