pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,normalized_projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split.1,_raw_broad,10 Yard Split.2,10 Yard Split.3,position_group,missing_outcome,missing_combine,low_confidence_mock,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag,weighted_av_pred,av_tier,performance_value_usd,contract_cost_usd,contract_surplus_usd,contract_surplus_percentile,upside_percentile,round_value_percentile,sleeper_score,draft_window_label
,,,Jeremiyah Love,RB,2026,6.2,5,35220000.0,1,6,,notre dame,72.0,212,4.36,,,,,,,,,,,433.0,2882.0,36.0,63.0,594.0,6.0,,,,,,,,,,,,,,,,,,,,,6000,918,3200,7858.0,1.55,,,1.55,,skill_run,True,False,False,96.22,1,0,True,117.33292558267314,,,28.749228395061728,0.601181341934206,-0.4483140618879367,-1.4512322235289539,,,,,,1.531471729389536,,,-1.0539910865045385,6.655889145496536,0.08314087759815242,0.14549653579676675,3476.0,False,False,47.50519,elite,18072000.0,35220000.0,-17148000.0,0.05263157894736842,0.6052631578947368,0.5263157894736842,31.31578947368421,No strong signal at current ADP
,,,Jadarian Price,RB,2026,60.2,59,8160000.0,2,60,,notre dame,70.625,203,4.49,35.0,124.0,21.0,,,,,,,,280.0,1692.0,21.0,15.0,162.0,3.0,,,,,,,,,,,,,,,,,,,,,5105,958,3078,7858.0,1.61,,1004,1.61,,skill_run,True,False,False,60.03,0,0,True,99.89429116969761,79.5,,28.611092489623307,-0.1536469920260239,-0.9579074160014656,-0.4904861522031618,0.1559422732826228,0.9061029760479623,0.11236267008287798,,,-0.2508567691905942,0.7162158479763397,,-1.1274149699332308,6.042857142857143,0.075,0.05357142857142857,1854.0,False,False,24.98127,elite,18072000.0,8160000.0,9912000.0,0.8421052631578947,0.6052631578947368,0.5263157894736842,70.78947368421052,Round 2 value — monitor board
,,,Mike Washington Jr,RB,2026,78.0,76,6930000.0,3,78,,arkansas,73.0,223,4.33,39.0,128.0,,,,273.0,473.0,2963.0,17.0,9.0,55.0,317.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,6010,948,3358,8200.0,1.51,,1008,1.51,,skill_run,True,False,False,49.86,0,0,True,126.87710869962683,83.5,,29.418089697879527,1.1501474029961913,0.17452225980637626,-1.6729428553733694,1.3918934175659423,1.5637498896781352,,,,2.5069420077478375,1.6615753173306207,,-0.698468790022761,5.763636363636364,0.07272727272727272,,317.0,False,True,30.332018,elite,18072000.0,6930000.0,11142000.0,0.8947368421052632,0.7368421052631579,0.8421052631578947,83.68421052631578,High-value sleeper — target in round 3
,,,Emmett Johnson,RB,2026,96.0,91,6330000.0,3,96,,nebraska,70.25,202,4.56,,120.0,16.0,7.32,4.29,,,,,,458.0,2460.0,15.0,91.0,689.0,5.0,,,,,,,,,,,,,,,,,,,,,5102,968,3028,7438.0,1.59,,1000,1.59,,skill_run,True,False,False,40.63,0,0,True,93.4376687724831,,5.805,28.77491419814845,-0.3595092649242684,-1.0145288997918576,0.02683865543379916,,0.24845606241778945,-0.8942195827429021,0.9379944098168689,0.1437191909235494,-0.9107606258001225,,0.6855730856600736,-1.0403382175735665,5.37117903930131,0.03275109170305677,0.19868995633187772,3149.0,False,False,24.425983,elite,18072000.0,6330000.0,11742000.0,0.9473684210526315,0.3157894736842105,0.15789473684210525,60.0,Round 3 value — monitor board
,,,Nicholas Singleton,RB,2026,107.5,102,6050000.0,4,108,,penn state,72.25,219,,,,,,,,,,,,621.0,3452.0,45.0,102.0,987.0,9.0,,,,,,,,,,,,,,,,,,,,,6002,938,3100,7778.0,,,,,,skill_run,True,True,False,35.0,0,0,True,,,,29.493325032027872,0.7384228571997024,-0.05196367535519209,,,,,,,,,,-0.6584786774832709,5.5587761674718195,0.07246376811594203,0.1642512077294686,4439.0,False,False,17.520807,elite,18072000.0,6050000.0,12022000.0,1.0,0.9473684210526315,1.0,98.42105263157895,High-value sleeper — target in round 4
,,,Jonah Coleman,RB,2026,112.3,113,5954000.0,4,112,,washington,68.125,220,,,,22.0,,,,,,,,552.0,3054.0,34.0,87.0,838.0,3.0,,,,,,,,,,,,,,,,,,,,,5081,918,2878,7118.0,,,,,,skill_run,True,False,False,33.22,0,0,True,,,,33.32460230620318,-1.5260621446809872,0.004657808435199999,,,,0.313679120648034,,,,,,1.3779741554657075,5.532608695652174,0.06159420289855073,0.15760869565217392,3892.0,False,False,11.051427,good,10542000.000000002,5954000.0,4588000.000000002,0.631578947368421,0.47368421052631576,0.5263157894736842,56.315789473684205,On the board — situational value
,,,Demond Claiborne,RB,2026,126.0,136,5680000.0,4,126,,wake forest,69.75,188,4.37,,122.0,,,,,,,,,558.0,2596.0,26.0,55.0,424.0,2.0,,,,,,,,,,,,,,,,,,,,,5096,900,3018,7278.0,1.59,,1002,1.59,,skill_run,True,False,False,27.34,0,0,True,103.10081469169418,,,27.165940828098304,-0.633992295455261,-1.807229672857347,-1.3773286795808175,,0.5772795192328759,,,,0.07686833354850649,,,-1.895561722190152,4.652329749103942,0.04659498207885305,0.0985663082437276,3020.0,False,False,6.6343718,below,3012000.0,5680000.0,-2668000.0,0.10526315789473684,0.10526315789473684,0.05263157894736842,9.473684210526315,No strong signal at current ADP
,,,Kaytron Allen,RB,2026,130.3,142,5594000.0,5,130,,penn state,71.375,216,,,,,,,1.0,1.0,4.0,0.0,0.0,769.0,4180.0,39.0,70.0,490.0,4.0,,,,,,,,,,,,,,,,,,,,,5113,948,2948,7268.0,,,,,,skill_run,True,True,False,25.77,0,1,True,,,,29.806901585996854,0.25807755377046515,-0.22182812672636837,,,,,,,,,,-0.4918021839856897,5.435630689206762,0.05071521456436931,0.09102730819245773,4670.0,False,False,16.93567,good,10542000.000000002,5594000.0,4948000.000000002,0.6842105263157895,0.7894736842105263,0.8947368421052632,75.78947368421053,High-value sleeper — target in round 5
,,,Le'veon Moss,RB,2026,155.0,166,5150000.0,5,155,,texas a&m,71.0,203,,,,,,,,,,,,322.0,1773.0,22.0,24.0,236.0,0.0,,,,,,,,,,,,,,,,,,,,,5110,948,3100,7618.0,,,,,,skill_run,True,True,False,16.99,0,1,True,,,,28.309660781590953,0.05221528087222063,-0.9579074160014656,,,,,,,,,,-1.287636069017026,5.5062111801242235,0.06832298136645963,0.07453416149068323,2009.0,False,False,8.366223,average,6024000.0,5150000.0,874000.0,0.3684210526315789,0.3684210526315789,0.10526315789473684,31.57894736842105,No strong signal at current ADP
,,,J'Mari Taylor,RB,2026,162.5,173,5075000.0,6,162,,virginia,69.875,199,,34.5,115.0,20.0,,,1.0,2.0,1.0,1.0,0.0,572.0,2914.0,37.0,95.0,848.0,9.0,,,,,,,,,,,,,,,,,,,,,5097,900,3000,7278.0,,,907,,,skill_run,True,False,False,14.86,0,1,True,,74.75,,28.652647680979005,-0.5653715378225129,-1.1843933511630338,,0.001448380247207893,-0.5736025796199266,-0.08895378048227805,,,,-0.40639852188186903,,-1.10532698696983,5.094405594405594,0.06468531468531469,0.1660839160839161,3762.0,False,False,8.415319,average,6024000.0,5075000.0,949000.0,0.42105263157894735,0.6842105263157895,0.6842105263157895,55.263157894736835,On the board — situational value
