pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats,pick_value,is_early_pick,is_day_3_pick,missing_age,speed_score,burst_score,agility_score,bmi,height_in_z,weight_lbs_z,forty_yard_z,vertical_jump_z,broad_jump_z,bench_reps_z,cone_drill_z,shuttle_z,speed_score_z,burst_score_z,agility_score_z,bmi_z,yards_per_carry,rush_td_rate,reception_rate,yards_from_scrimmage,rush_yards_flag,rec_yards_flag,_split,weighted_av_pred,surplus_value,surplus_value_percentile,pro_bowl_probability,peak_value_percentile,availability_factor,sleeper_score
MathRy00,ryan-mathews-1,00-0027864,Ryan Mathews,RB,2010,1,12,SDG,fresno st.,72.0,218.0,4.37,36.0,121.0,19.0,7.0,4.33,0.0,1.0,0.0,0.0,0.0,534.0,3280.0,39.0,19.0,268.0,2.0,44.0,37.0,86.0,1,0,5,False,skill_run,False,False,False,False,91.78,1,0,True,119.5530723552624,78.5,5.665,29.562885802469136,0.601181341934206,-0.1085851591455841,-1.3773286795808175,0.4649300593534526,0.4128677908253326,-0.2902702310474341,-0.3459575489851471,0.3906954970810258,1.7583834685835311,0.4798759806377695,-0.0606807139338117,-0.6215047865612893,6.142322097378277,0.0730337078651685,0.0355805243445692,3548.0,False,False,train,43.37731,-1.2892227,0.35765124555160144,0.54211634,0.9252669039145908,0.6777705,57.20912543320995
AbduAm00,ameer-abdullah-1,00-0032104,Ameer Abdullah,RB,2015,2,54,DET,nebraska,69.0,205.0,4.6,42.5,130.0,24.0,6.79,3.95,0.0,1.0,0.0,0.0,0.0,813.0,4588.0,39.0,73.0,690.0,7.0,22.0,10.0,154.0,0,0,2,False,skill_run,False,False,False,False,63.63,0,0,True,91.56985573950924,86.25,5.37,30.269901281243435,-1.04571684125175,-0.8446644484206813,0.322452831226351,2.473350668813847,1.8925733464932213,0.7163120217783461,-1.1885510219489692,-1.9555794114149967,-1.1016618351408964,2.311509952511689,-1.6331440773637875,-0.2457022612797905,5.64329643296433,0.047970479704797,0.0897908979089791,5278.0,False,False,train,22.846537,-5.0623245,0.12811387900355872,0.29782572,0.7829181494661922,0.35697713,33.87897540056197
WhitJa02,james-white-2,00-0031062,James White,RB,2014,4,130,NWE,wisconsin,69.0,204.0,4.57,32.0,114.0,23.0,7.05,4.2,1.0,2.0,3.0,1.0,0.0,643.0,4015.0,45.0,73.0,670.0,3.0,37.0,37.0,95.0,0,0,0,False,skill_run,False,False,False,False,25.77,0,0,True,93.53956863848396,73.0,5.625,30.12224322621298,-1.04571684125175,-0.9012859322110734,0.100742199381942,-0.7710210849298668,-0.7380143080274698,0.5149955712131901,-0.145340055422333,-0.4119774979307711,-0.9003458748010578,-0.819993289724367,-0.273896085246351,-0.3241874877345194,6.244167962674961,0.0699844479004665,0.1135303265940902,4685.0,False,False,train,30.644972,18.913027,0.9679715302491103,0.38514858,0.8665480427046264,0.47882766,73.32934716524178
HardMo00,montario-hardesty-1,00-0027666,Montario Hardesty,RB,2010,2,59,CLE,tennessee,72.0,225.0,4.49,41.0,124.0,21.0,6.87,4.14,0.0,1.0,0.0,0.0,0.0,560.0,2391.0,26.0,38.0,405.0,1.0,4.0,4.0,23.0,0,0,0,False,skill_run,False,False,False,False,60.63,0,0,True,110.72027346395056,82.5,5.505,30.51215277777778,0.601181341934206,0.2877652273871604,-0.4904861522031618,2.009868989707602,0.9061029760479624,0.1123626700828779,-0.8675630322484652,-0.7824419571669884,0.8556207399550634,1.4252354499920503,-0.9135421991839692,-0.1169374366274987,4.269642857142857,0.0464285714285714,0.0678571428571428,2796.0,False,False,train,8.03794,-19.870922,0.008896797153024912,0.16824691,0.3914590747330961,0.12559281,14.061847838218528
GerhTo00,toby-gerhart-1,00-0027888,Toby Gerhart,RB,2010,2,51,MIN,stanford,72.0,231.0,4.5,38.0,118.0,22.0,6.94,4.25,1.0,1.0,18.0,1.0,0.0,671.0,3522.0,43.0,39.0,395.0,0.0,16.0,13.0,82.0,0,0,0,False,skill_run,False,False,False,False,65.47,0,0,True,112.665752171925,78.0,5.595000000000001,31.325810185185187,0.601181341934206,0.6274941301295129,-0.4165826082550254,1.0829056314951124,-0.0803673943972969,0.313679120648034,-0.5866985412605233,-0.1032571152339269,1.0544598269207082,0.3617060469684843,-0.433807613730752,0.3155488633157505,5.248882265275708,0.0640834575260804,0.0581222056631892,3917.0,False,False,train,26.797644,-1.1112175,0.38256227758007116,0.34071314,0.8274021352313167,0.41871318,47.03906091506796
VereSh00,shane-vereen-1,00-0027994,Shane Vereen,RB,2011,2,56,NWE,california,70.0,210.0,4.49,34.0,115.0,31.0,6.95,4.28,0.0,3.0,0.0,0.0,0.0,556.0,2834.0,29.0,74.0,674.0,6.0,25.0,16.0,79.0,0,0,1,False,skill_run,False,False,False,False,62.42,0,0,True,103.33892189968718,74.5,5.615,30.12857142857143,-0.4967507801897647,-0.5615570294687209,-0.4904861522031618,-0.153045512788207,-0.5736025796199266,2.1255271757344385,-0.5465750425479612,0.0819751143841816,0.1012042564466602,-0.4654834887165116,-0.3271999280744846,-0.3208238351721729,5.097122302158273,0.0521582733812949,0.1330935251798561,3508.0,False,False,train,20.24382,-7.665041,0.0693950177935943,0.27134508,0.7473309608540926,0.3163097,29.475515615261326
BallMo00,montee-ball-1,00-0030522,Montee Ball,RB,2013,2,58,DEN,wisconsin,70.0,214.0,4.66,32.0,118.0,15.0,6.88,4.4,2.0,2.0,57.0,1.0,0.0,924.0,5140.0,77.0,59.0,598.0,6.0,7.0,7.0,21.0,0,0,0,False,skill_run,False,False,False,False,61.22,0,0,True,90.76117345343056,75.0,5.640000000000001,30.70244897959184,-0.4967507801897647,-0.3350710943071525,0.7658740949151822,-0.7710210849298668,-0.0803673943972969,-1.0955360333080582,-0.827439533535903,0.8229040328566108,-1.1843138049363369,-0.3473135550472264,-0.1939403210041458,-0.015788599946895,5.562770562770563,0.0833333333333333,0.0638528138528138,5738.0,False,False,train,17.802486,-10.106375,0.04448398576512456,0.24789406,0.7064056939501779,0.27816385,26.428631513091172
SimsCh00,charles-sims-1,00-0031390,Charles Sims,RB,2014,3,69,TAM,west virginia,72.0,214.0,4.48,37.5,126.0,17.0,7.16,4.3,0.0,1.0,0.0,0.0,0.0,592.0,3465.0,40.0,203.0,2108.0,11.0,13.0,13.0,47.0,0,0,0,False,skill_run,False,False,False,False,54.83,0,0,True,106.2506787333077,81.75,5.73,29.0204475308642,0.601181341934206,-0.3350710943071525,-0.5643896961512981,0.9284117384596976,1.2349264328630487,-0.6929031321777461,0.2960184304158609,0.2054632674629171,0.3988025122846169,1.2479805494881229,0.2857942644490664,-0.909828986523456,5.85304054054054,0.0675675675675675,0.3429054054054054,5573.0,False,False,train,23.248547,4.0618496,0.7829181494661922,0.30204624,0.7864768683274022,0.36325854,60.3523587963123
FreeRo00,royce-freeman-1,00-0034838,Royce Freeman,RB,2018,3,71,DEN,oregon,71.0,229.0,4.54,34.0,118.0,17.0,6.9,4.16,1.0,1.0,26.0,1.0,0.0,947.0,5621.0,60.0,79.0,814.0,4.0,13.0,9.0,79.0,0,0,0,False,skill_run,False,False,False,False,53.7,0,0,True,107.80578507128922,76.0,5.53,31.93552866494743,0.0522152808722206,0.5142511625487288,-0.1209684324624735,-0.153045512788207,-0.0803673943972969,-0.6929031321777461,-0.7471925361107753,-0.6589538040882474,0.5577433031096554,-0.1109736877086561,-0.7802825921136302,0.6396347585816928,5.93558606124604,0.0633579725448785,0.0834213305174234,6435.0,False,False,train,18.093365,-1.0933323,0.3879003558718861,0.2506156,0.7153024911032029,0.28270882,40.4885529130167
BellLe00,leveon-bell-1,00-0030496,Le'Veon Bell,RB,2013,2,48,PIT,michigan st.,73.0,230.0,4.6,31.5,118.0,24.0,6.75,4.24,1.0,1.0,29.0,0.0,0.0,671.0,3346.0,33.0,78.0,531.0,1.0,61.0,55.0,96.0,3,2,5,False,skill_run,False,False,False,False,67.34,0,0,True,102.73691131749818,74.75,5.495,30.34152749108651,1.1501474029961911,0.5708726463391209,0.322452831226351,-0.9255149779652816,-0.0803673943972969,0.7163120217783461,-1.3490450167992212,-0.1650011917732947,0.0396753206554556,-0.406398521881869,-0.9668460420121028,-0.2076305197925537,4.986587183308495,0.0491803278688524,0.1162444113263785,3877.0,False,False,train,48.80986,20.901,0.9750889679715302,0.6083765,0.9608540925266904,0.76265407,85.64125299400706
